Id_station;code_Hydro;nom_station;longitude;latitude;Periode;Automne;Hiver;Printemps;Été
427;E640601001;L'AVRE-A-MOREUIL;2.486220;49.769356;2005-2030;0.1511628703296703;0.3324526304050978;0.224724884057971;0.1255302885216614
427;E640601001;L'AVRE-A-MOREUIL;2.486220;49.769356;2030-2050;0.1503951725274725;0.4985877058171745;0.2256041972826087;0.1035959581521739
427;E640601001;L'AVRE-A-MOREUIL;2.486220;49.769356;2070-2100;0.1683193146520146;0.3856004898770788;0.2282766518232819;0.1109062414037575
457;E642601001;LA-SELLE-A-PLACHY-BUYON;2.215692;49.816479;2005-2030;0.0874926272527472;0.3413276049157943;0.0996670009057971;0.0651920665475658
457;E642601001;LA-SELLE-A-PLACHY-BUYON;2.215692;49.816479;2030-2050;0.0964388098901098;0.5168889745152354;0.1080367076086956;0.0533471869565217
457;E642601001;LA-SELLE-A-PLACHY-BUYON;2.215692;49.816479;2070-2100;0.0992165135531135;0.2506553217642805;0.097749675315568;0.0551425239276852
598;F232000101;LA-VOULZIE-A-JUTIGNY;3.235083;48.487675;2005-2030;0.5266384114285715;1.1073137241693218;1.1466789945652174;0.3834673934792318
598;F232000101;LA-VOULZIE-A-JUTIGNY;3.235083;48.487675;2030-2050;0.5195111120879121;1.488493234903047;1.1737988260869563;0.420982975
598;F232000101;LA-VOULZIE-A-JUTIGNY;3.235083;48.487675;2070-2100;0.6428366157509158;1.7065383109182934;1.434515727208976;0.5017901329315845
609;F355040000;LA-VANNE-A-PAISY-COSDON;3.707083;48.243214;2005-2030;1.1074741665934067;1.6452142567137005;1.574571638134058;0.909051141581063
609;F355040000;LA-VANNE-A-PAISY-COSDON;3.707083;48.243214;2030-2050;1.0854722615384615;1.8759735922437677;1.514125768478261;0.905589193478261
609;F355040000;LA-VANNE-A-PAISY-COSDON;3.707083;48.243214;2070-2100;1.3103765835164836;2.137317082067968;1.8081401276297333;1.159225344558667
610;F357000101;LA-VANNE-A-PONT-SUR-VANNE;3.441135;48.184380;2005-2030;3.258819133626373;4.511274538916705;4.393732317028986;2.801455538633318
610;F357000101;LA-VANNE-A-PONT-SUR-VANNE;3.441135;48.184380;2030-2050;3.132159587912088;4.97968948199446;4.175008111413043;2.6915696086956524
610;F357000101;LA-VANNE-A-PONT-SUR-VANNE;3.441135;48.184380;2070-2100;3.699663192673993;5.639010932393348;4.921522741584853;3.3085382523927684
631;F410000601;LE-LOING-A-MONTBOUY;2.821666;47.860825;2005-2030;1.1740405753846157;2.135990030951297;2.197950679347826;1.1018599289861546
631;F410000601;LE-LOING-A-MONTBOUY;2.821666;47.860825;2030-2050;1.1052164263736264;2.3710479822714685;2.0894732244565217;1.0726883326086958
631;F410000601;LE-LOING-A-MONTBOUY;2.821666;47.860825;2070-2100;1.2602148406593408;2.7489841109906;2.549379262622721;1.2521904852889048
629;F415000101;L'OUANNE-A-CHARNY;3.091289;47.885567;2005-2030;2.2035559125274724;4.097110903049614;3.957523166213768;1.9608448829834748
629;F415000101;L'OUANNE-A-CHARNY;3.091289;47.885567;2030-2050;1.976398562087912;4.5373305734072025;3.764860244021739;1.9013689097826088
629;F415000101;L'OUANNE-A-CHARNY;3.091289;47.885567;2070-2100;2.311087391575092;5.175489905639913;4.3756083660589065;2.169550685572492
626;F416000201;L'OUANNE-A-GY-LES-NONAINS;2.846247;47.948399;2005-2030;3.5431487758241755;5.819007106964042;5.851224786684782;3.3054352340330504
626;F416000201;L'OUANNE-A-GY-LES-NONAINS;2.846247;47.948399;2030-2050;3.246932332417582;6.315448028254847;5.553998340217391;3.1879538750000003
626;F416000201;L'OUANNE-A-GY-LES-NONAINS;2.846247;47.948399;2070-2100;3.766550566300366;7.260729819956617;6.495250498597475;3.66527663169089
618;F422000201;LE-LOING-A-CHALETTE-SUR-LOING;2.727356;48.035484;2005-2030;9.240201304615384;14.091312000910332;14.74571185643116;8.772524694506476
618;F422000201;LE-LOING-A-CHALETTE-SUR-LOING;2.727356;48.035484;2030-2050;8.900626692307691;15.28757468476454;14.042615208152174;8.60672750923913
618;F422000201;LE-LOING-A-CHALETTE-SUR-LOING;2.727356;48.035484;2070-2100;9.844576001831502;17.389796529284165;16.298759970897613;9.46723751506558
605;F439000101;LE-LOING-A-EPISY;2.787250;48.336700;2005-2030;16.987274638241757;23.79195167045972;24.90420445833333;16.027430773559622
605;F439000101;LE-LOING-A-EPISY;2.787250;48.336700;2030-2050;16.521534354395605;25.68326466537396;23.688945393478264;15.743514263586958
605;F439000101;LE-LOING-A-EPISY;2.787250;48.336700;2070-2100;18.13765767619048;28.82942717678959;27.417812171107997;17.013879697979437
597;F448060000;L'ECOLE-A-SAINT-SAUVEUR-SUR-ECOLE;2.542267;48.491959;2005-2030;0.9730864145054944;1.2353939003186163;1.3310432205615943;0.9168764403751676
597;F448060000;L'ECOLE-A-SAINT-SAUVEUR-SUR-ECOLE;2.542267;48.491959;2030-2050;0.9489976027472528;1.3589375534626038;1.258018166847826;0.900483464673913
597;F448060000;L'ECOLE-A-SAINT-SAUVEUR-SUR-ECOLE;2.542267;48.491959;2070-2100;1.0866851604395604;1.530724258857556;1.4900563001402525;0.9776561970932294
